N°;Type;Sous-Type;Réf Auto;Des Auto;PU HT;Année;Geographie;Poids
1;Courrier;Affranchissement Courrier 20g France;24COUR1;AFFRANCHISSEMENT COURRIER 20G FRANCE TARIF 2024;1,29;2024;France;20g
2;Courrier;Affranchissement Courrier 100g France;24COUR2;AFFRANCHISSEMENT COURRIER 100G FRANCE TARIF 2024;2,58;2024;France;100g
3;Courrier;Affranchissement Courrier 250g France;24COUR3;AFFRANCHISSEMENT COURRIER 250G FRANCE TARIF 2024;4,3;2024;France;250g
4;Courrier;Affranchissement Courrier 500g France;24COUR4;AFFRANCHISSEMENT COURRIER 500G FRANCE TARIF 2024;6,3;2024;France;500g
5;Courrier;Affranchissement Courrier 1kg France;24COUR5;AFFRANCHISSEMENT COURRIER 1KG FRANCE TARIF 2024;7,7;2024;France;1kg
6;Courrier;Affranchissement Courrier 2kg France;24COUR6;AFFRANCHISSEMENT COURRIER 2KG FRANCE TARIF 2024;9,29;2024;France;2kg
7;Courrier;Affranchissement Courrier 20g Monde;24COUR7;AFFRANCHISSEMENT COURRIER 20G MONDE TARIF 2024;1,96;2024;Monde;20g
8;Courrier;Affranchissement Courrier 100g Monde;24COUR8;AFFRANCHISSEMENT COURRIER 100G MONDE TARIF 2024;4,15;2024;Monde;100g
9;Courrier;Affranchissement Courrier 250g Monde;24COUR9;AFFRANCHISSEMENT COURRIER 250G MONDE TARIF 2024;9,85;2024;Monde;250g
10;Courrier;Affranchissement Courrier 500g Monde;24COUR10;AFFRANCHISSEMENT COURRIER 500G MONDE TARIF 2024;14,55;2024;Monde;500g
11;Courrier;Affranchissement Courrier 2kg Monde;24COUR11;AFFRANCHISSEMENT COURRIER 2KG MONDE TARIF 2024;26,5;2024;Monde;2kg
12;Colis;Affranchissement Colis 250g France;24COLI12;AFFRANCHISSEMENT COLIS 250G FRANCE TARIF 2024;4,99;2024;France;250g
13;Colis;Affranchissement Colis 500g France;24COLI13;AFFRANCHISSEMENT COLIS 500G FRANCE TARIF 2024;6,99;2024;France;500g
14;Colis;Affranchissement Colis 750g France;24COLI14;AFFRANCHISSEMENT COLIS 750G FRANCE TARIF 2024;8,1;2024;France;750g
15;Colis;Affranchissement Colis 1kg France;24COLI15;AFFRANCHISSEMENT COLIS 1KG FRANCE TARIF 2024;8,8;2024;France;1kg
16;Colis;Affranchissement Colis 2kg France;24COLI16;AFFRANCHISSEMENT COLIS 2KG FRANCE TARIF 2024;10,15;2024;France;2kg
17;Colis;Affranchissement Colis 5kg France;24COLI17;AFFRANCHISSEMENT COLIS 5KG FRANCE TARIF 2024;15,6;2024;France;5kg
18;Colis;Affranchissement Colis 10kg France;24COLI18;AFFRANCHISSEMENT COLIS 10KG FRANCE TARIF 2024;22,7;2024;France;10kg
19;Colis;Affranchissement Colis 30kg France;24COLI19;AFFRANCHISSEMENT COLIS 30KG FRANCE TARIF 2024;35,55;2024;France;30kg
21;Colis;Affranchissement Colis 500g Europe;24COLI21;AFFRANCHISSEMENT COLIS 500G EUROPE TARIF 2024;14,25;2024;Europe;500g
23;Colis;Affranchissement Colis 1kg Europe;24COLI23;AFFRANCHISSEMENT COLIS 1KG EUROPE TARIF 2024;17,6;2024;Europe;1kg
24;Colis;Affranchissement Colis 2kg Europe;24COLI24;AFFRANCHISSEMENT COLIS 2KG EUROPE TARIF 2024;19,95;2024;Europe;2kg
25;Colis;Affranchissement Colis 5kg Europe;24COLI25;AFFRANCHISSEMENT COLIS 5KG EUROPE TARIF 2024;25,5;2024;Europe;5kg
26;Colis;Affranchissement Colis 10kg Europe;24COLI26;AFFRANCHISSEMENT COLIS 10KG EUROPE TARIF 2024;42,05;2024;Europe;10kg
27;Colis;Affranchissement Colis 30kg Europe;24COLI27;AFFRANCHISSEMENT COLIS 30KG EUROPE TARIF 2024;80,05;2024;Europe;30kg
29;Colis;Affranchissement Colis 500g Monde_B;24COLI29;AFFRANCHISSEMENT COLIS 500G MONDE_B TARIF 2024;21,4;2024;Monde_B;500g
31;Colis;Affranchissement Colis 1kg Monde_B;24COLI31;AFFRANCHISSEMENT COLIS 1KG MONDE_B TARIF 2024;25,55;2024;Monde_B;1kg
32;Colis;Affranchissement Colis 2kg Monde_B;24COLI32;AFFRANCHISSEMENT COLIS 2KG MONDE_B TARIF 2024;27,95;2024;Monde_B;2kg
33;Colis;Affranchissement Colis 5kg Monde_B;24COLI33;AFFRANCHISSEMENT COLIS 5KG MONDE_B TARIF 2024;35,9;2024;Monde_B;5kg
34;Colis;Affranchissement Colis 10kg Monde_B;24COLI34;AFFRANCHISSEMENT COLIS 10KG MONDE_B TARIF 2024;59,4;2024;Monde_B;10kg
35;Colis;Affranchissement Colis 20kg Monde_B;24COLI35;AFFRANCHISSEMENT COLIS 20KG MONDE_B TARIF 2024;98,55;2024;Monde_B;20kg
36;Recommandé;Affranchissement LR-R1 20g France;24RECO36;AFFRANCHISSEMENT LR-R1 20G FRANCE TARIF 2024;5,36;2024;France;20g
37;Recommandé;Affranchissement LR-R1 50g France;24RECO37;AFFRANCHISSEMENT LR-R1 50G FRANCE TARIF 2024;6,13;2024;France;50g
38;Recommandé;Affranchissement LR-R1 100g France;24RECO38;AFFRANCHISSEMENT LR-R1 100G FRANCE TARIF 2024;6,92;2024;France;100g
39;Recommandé;Affranchissement LR-R1 250g France;24RECO39;AFFRANCHISSEMENT LR-R1 250G FRANCE TARIF 2024;8,46;2024;France;250g
40;Recommandé;Affranchissement LR-R1 500g France;24RECO40;AFFRANCHISSEMENT LR-R1 500G FRANCE TARIF 2024;9,93;2024;France;500g
41;Recommandé;Affranchissement LR-R1 1kg France;24RECO41;AFFRANCHISSEMENT LR-R1 1KG FRANCE TARIF 2024;11,43;2024;France;1kg
42;Recommandé;Affranchissement LR-R1 2kg France;24RECO42;AFFRANCHISSEMENT LR-R1 2KG FRANCE TARIF 2024;13,53;2024;France;2kg
43;Recommandé;Affranchissement LRAR-R1 20g France;24RECO43;AFFRANCHISSEMENT LRAR-R1 20G FRANCE TARIF 2024;6,71;2024;France;20g
44;Recommandé;Affranchissement LRAR-R1 50g France;24RECO44;AFFRANCHISSEMENT LRAR-R1 50G FRANCE TARIF 2024;7,48;2024;France;50g
45;Recommandé;Affranchissement LRAR-R1 100g France;24RECO45;AFFRANCHISSEMENT LRAR-R1 100G FRANCE TARIF 2024;8,27;2024;France;100g
46;Recommandé;Affranchissement LRAR-R1 250g France;24RECO46;AFFRANCHISSEMENT LRAR-R1 250G FRANCE TARIF 2024;9,81;2024;France;250g
47;Recommandé;Affranchissement LRAR-R1 500g France;24RECO47;AFFRANCHISSEMENT LRAR-R1 500G FRANCE TARIF 2024;11,28;2024;France;500g
48;Recommandé;Affranchissement LRAR-R1 1kg France;24RECO48;AFFRANCHISSEMENT LRAR-R1 1KG FRANCE TARIF 2024;12,78;2024;France;1kg
49;Recommandé;Affranchissement LRAR-R1 2kg France;24RECO49;AFFRANCHISSEMENT LRAR-R1 2KG FRANCE TARIF 2024;14,88;2024;France;2kg
50;Recommandé;Affranchissement LR-R2 20g France;24RECO50;AFFRANCHISSEMENT LR-R2 20G FRANCE TARIF 2024;6,4;2024;France;20g
51;Recommandé;Affranchissement LR-R2 50g France;24RECO51;AFFRANCHISSEMENT LR-R2 50G FRANCE TARIF 2024;7,08;2024;France;50g
52;Recommandé;Affranchissement LR-R2 100g France;24RECO52;AFFRANCHISSEMENT LR-R2 100G FRANCE TARIF 2024;7,88;2024;France;100g
53;Recommandé;Affranchissement LR-R2 250g France;24RECO53;AFFRANCHISSEMENT LR-R2 250G FRANCE TARIF 2024;9,42;2024;France;250g
54;Recommandé;Affranchissement LR-R2 500g France;24RECO54;AFFRANCHISSEMENT LR-R2 500G FRANCE TARIF 2024;10,84;2024;France;500g
55;Recommandé;Affranchissement LR-R2 1kg France;24RECO55;AFFRANCHISSEMENT LR-R2 1KG FRANCE TARIF 2024;12,38;2024;France;1kg
56;Recommandé;Affranchissement LR-R2 2kg France;24RECO56;AFFRANCHISSEMENT LR-R2 2KG FRANCE TARIF 2024;14,47;2024;France;2kg
57;Recommandé;Affranchissement LRAR-R2 20g France;24RECO57;AFFRANCHISSEMENT LRAR-R2 20G FRANCE TARIF 2024;7,75;2024;France;20g
58;Recommandé;Affranchissement LRAR-R2 50g France;24RECO58;AFFRANCHISSEMENT LRAR-R2 50G FRANCE TARIF 2024;8,43;2024;France;50g
59;Recommandé;Affranchissement LRAR-R2 100g France;24RECO59;AFFRANCHISSEMENT LRAR-R2 100G FRANCE TARIF 2024;9,23;2024;France;100g
60;Recommandé;Affranchissement LRAR-R2 250g France;24RECO60;AFFRANCHISSEMENT LRAR-R2 250G FRANCE TARIF 2024;10,77;2024;France;250g
61;Recommandé;Affranchissement LRAR-R2 500g France;24RECO61;AFFRANCHISSEMENT LRAR-R2 500G FRANCE TARIF 2024;12,19;2024;France;500g
62;Recommandé;Affranchissement LRAR-R2 1kg France;24RECO62;AFFRANCHISSEMENT LRAR-R2 1KG FRANCE TARIF 2024;13,73;2024;France;1kg
63;Recommandé;Affranchissement LRAR-R2 2kg France;24RECO63;AFFRANCHISSEMENT LRAR-R2 2KG FRANCE TARIF 2024;15,82;2024;France;2kg
64;Recommandé;Affranchissement LR-R3 20g France;24RECO64;AFFRANCHISSEMENT LR-R3 20G FRANCE TARIF 2024;7,88;2024;France;20g
65;Recommandé;Affranchissement LR-R3 50g France;24RECO65;AFFRANCHISSEMENT LR-R3 50G FRANCE TARIF 2024;8,49;2024;France;50g
66;Recommandé;Affranchissement LR-R3 100g France;24RECO66;AFFRANCHISSEMENT LR-R3 100G FRANCE TARIF 2024;9,25;2024;France;100g
67;Recommandé;Affranchissement LR-R3 250g France;24RECO67;AFFRANCHISSEMENT LR-R3 250G FRANCE TARIF 2024;10,91;2024;France;250g
68;Recommandé;Affranchissement LR-R3 500g France;24RECO68;AFFRANCHISSEMENT LR-R3 500G FRANCE TARIF 2024;12,21;2024;France;500g
69;Recommandé;Affranchissement LR-R3 1kg France;24RECO69;AFFRANCHISSEMENT LR-R3 1KG FRANCE TARIF 2024;13,74;2024;France;1kg
70;Recommandé;Affranchissement LR-R3 2kg France;24RECO70;AFFRANCHISSEMENT LR-R3 2KG FRANCE TARIF 2024;15,96;2024;France;2kg
71;Recommandé;Affranchissement LRAR-R3 20g France;24RECO71;AFFRANCHISSEMENT LRAR-R3 20G FRANCE TARIF 2024;9,23;2024;France;20g
72;Recommandé;Affranchissement LRAR-R3 50g France;24RECO72;AFFRANCHISSEMENT LRAR-R3 50G FRANCE TARIF 2024;9,84;2024;France;50g
73;Recommandé;Affranchissement LRAR-R3 100g France;24RECO73;AFFRANCHISSEMENT LRAR-R3 100G FRANCE TARIF 2024;10,6;2024;France;100g
74;Recommandé;Affranchissement LRAR-R3 250g France;24RECO74;AFFRANCHISSEMENT LRAR-R3 250G FRANCE TARIF 2024;12,26;2024;France;250g
75;Recommandé;Affranchissement LRAR-R3 500g France;24RECO75;AFFRANCHISSEMENT LRAR-R3 500G FRANCE TARIF 2024;13,56;2024;France;500g
76;Recommandé;Affranchissement LRAR-R3 1kg France;24RECO76;AFFRANCHISSEMENT LRAR-R3 1KG FRANCE TARIF 2024;15,09;2024;France;1kg
77;Recommandé;Affranchissement LRAR-R3 2kg France;24RECO77;AFFRANCHISSEMENT LRAR-R3 2KG FRANCE TARIF 2024;17,31;2024;France;2kg
78;Recommandé;Affranchissement LR-R1 20g Monde;24RECO78;AFFRANCHISSEMENT LR-R1 20G MONDE TARIF 2024;6,91;2024;Monde;20g
79;Recommandé;Affranchissement LR-R1 100g Monde;24RECO79;AFFRANCHISSEMENT LR-R1 100G MONDE TARIF 2024;9,1;2024;Monde;100g
80;Recommandé;Affranchissement LR-R1 250g Monde;24RECO80;AFFRANCHISSEMENT LR-R1 250G MONDE TARIF 2024;14,8;2024;Monde;250g
81;Recommandé;Affranchissement LR-R1 500g Monde;24RECO81;AFFRANCHISSEMENT LR-R1 500G MONDE TARIF 2024;19,5;2024;Monde;500g
82;Recommandé;Affranchissement LR-R1 2kg Monde;24RECO82;AFFRANCHISSEMENT LR-R1 2KG MONDE TARIF 2024;31,45;2024;Monde;2kg
83;Recommandé;Affranchissement LRAR-R1 20g Monde;24RECO83;AFFRANCHISSEMENT LRAR-R1 20G MONDE TARIF 2024;8,41;2024;Monde;20g
84;Recommandé;Affranchissement LRAR-R1 100g Monde;24RECO84;AFFRANCHISSEMENT LRAR-R1 100G MONDE TARIF 2024;10,6;2024;Monde;100g
85;Recommandé;Affranchissement LRAR-R1 250g Monde;24RECO85;AFFRANCHISSEMENT LRAR-R1 250G MONDE TARIF 2024;16,3;2024;Monde;250g
86;Recommandé;Affranchissement LRAR-R1 500g Monde;24RECO86;AFFRANCHISSEMENT LRAR-R1 500G MONDE TARIF 2024;21;2024;Monde;500g
87;Recommandé;Affranchissement LRAR-R1 2kg Monde;24RECO87;AFFRANCHISSEMENT LRAR-R1 2KG MONDE TARIF 2024;32,95;2024;Monde;2kg
88;Recommandé;Affranchissement LR-R2 20g Monde;24RECO88;AFFRANCHISSEMENT LR-R2 20G MONDE TARIF 2024;7,91;2024;Monde;20g
