Nom_commune;Code_postal
ST VICTOR SUR RHINS;42630
SALVIZINET;42110
LA TERRASSE SUR DORLAY;42740
VEAUCHETTE;42340
LA VERSANNE;42220
VILLERS;42460
VOUGY;42720
ARAULES;43200
VISSAC AUTEYRAC;43300
AUTRAC;43450
AUVERS;43300
BEAUNE SUR ARZON;43500
BEAUX;43200
BLANZAC;43350
LE BOUCHET ST NICOLAS;43510
BOURNONCLE ST PIERRE;43360
BRIOUDE;43100
BRIVES CHARENSAC;43700
CHADRAC;43770
CHADRON;43150
LA CHAISE DIEU;43160
CHAMBEZON;43410
LE CHAMBON SUR LIGNON;43400
CHANALEILLES;43170
CHANIAT;43100
CHANTEUGES;43300
LA CHAPELLE BERTIN;43270
MOMUY;40700
MORCENX;40110
MORGANX;40700
MOUSCARDES;40290
NERBIS;40250
OEYREGAVE;40300
ONESSE LAHARIE;40110
ORTHEVIELLE;40300
PARENTIS EN BORN;40160
PECORADE;40320
PEYRE;40700
PISSOS;40410
PONTONX SUR L ADOUR;40465
POYANNE;40380
PUYOL CAZALET;40320
RION DES LANDES;40370
ROQUEFORT;40120
SABRES;40630
STE COLOMBE;40700
ST CRICQ DU GAVE;40300
ST GEOURS D AURIBAT;40380
ST JULIEN D ARMAGNAC;40240
ST MAURICE SUR ADOUR;40270
ST PAUL EN BORN;40200
ST PIERRE DU MONT;40280
SANGUINET;40460
SARRON;40800
SAUBION;40230
SERRES GASTON;40700
SINDERES;40110
SORDE L ABBAYE;40300
SOUSTONS;40140
TALLER;40260
URGONS;40320
VIELLE ST GIRONS;40560
VIELLE SOUBIRAN;40240
VILLENAVE;40110
YCHOUX;40160
YGOS ST SATURNIN;40110
ARVILLE;41170
AUTHON;41310
BILLY;41130
BINAS;41240
BONNEVEAU;41800
BOUFFRY;41270
BREVAINVILLE;41160
BRIOU;41370
CELLETTES;41120
LA CHAPELLE MONTMARTIN;41320
CHATEAUVIEUX;41110
DHUIZON;41220
DROUE;41270
EPUISAY;41360
CASTELNAU TURSAN;40320
CASTELNER;40700
CASTETS;40260
CAZERES SUR L ADOUR;40270
CLASSUN;40320
CLEDES;40320
CLERMONT;40180
ESCALANS;40310
FARGUES;40500
GAILLERES;40090
GARROSSE;40110
GEAUNE;40320
GOUTS;40400
HASTINGUES;40300
HAUT MAUCO;40280
HERM;40990
HERRE;40310
HEUGAS;40180
HINX;40180
LABOUHEYRE;40210
LACQUY;40120
LAGLORIEUSE;40090
LAUREDE;40250
LENCOUACQ;40120
LEON;40550
LESGOR;40400
LINXE;40260
LOURQUEN;40250
LUXEY;40430
MAGESCQ;40140
MAILLAS;40120
MAILLERES;40120
MANT;40700
MAURIES;40320
MAURRIN;40270
MONSEGUR;40700
MONTAUT;40500
MOUSTEY;40410
MUGRON;40250
ONARD;40380
OZOURT;40380
POMAREZ;40360
PORT DE LANNE;40300
POUYDESSEAUX;40120
PUJO LE PLAN;40190
ST ETIENNE D ORTHE;40300
ST MARTIN DE HINX;40390
ST SEVER;40500
ST YAGUEN;40400
SEIGNOSSE;40510
SOLFERINO;40210
TOULOUZETTE;40250
VERT;40420
LE VIGNAU;40270
AMBLOY;41310
AVARAY;41500
CHAUMONT SUR LOIRE;41150
CHAUMONT SUR THARONNE;41600
CHAUVIGNY DU PERCHE;41270
CHEMERY;41700
CHITENAY;41120
CORMENON;41170
CORMERAY;41120
CROUY SUR COSSON;41220
EPIAIS;41290
FEINGS;41120
LA FERTE ST CYR;41220
LA FONTENELLE;41270
FORTAN;41360
FOSSE;41330
FOUGERES SUR BIEVRE;41120
LE GAULT PERCHE;41270
GOMBERGEAN;41310
HERBAULT;41190
JOSNES;41370
LANGON;41320
LESTIOU;41500
LA MADELEINE VILLEFROUIN;41370
MARAY;41320
MESLAND;41150
MONTRICHARD VAL DE CHER;41400
MONTROUVEAU;41800
NOURRAY;41310
NOYERS SUR CHER;41140
OISLY;41700
BEAUCE LA ROMAINE;41160
PEZOU;41100
PONTLEVOY;41400
PRAY;41190
RHODON;41290
RUAN SUR EGVONNE;41270
ST ARNOULT;41800
ST CYR DU GAULT;41190
ST GERVAIS LA FORET;41350
ST JULIEN DE CHEDON;41400
ST RIMAY;41800
SANTENAY;41190
SARGE SUR BRAYE;41170
SAVIGNY SUR BRAYE;41360
MIGNOVILLARD;39250
MONTAIN;39210
MONTFLEUR;39320
MONTHOLIER;39800
MONTMIREY LE CHATEAU;39290
MONT SUR MONNET;39300
HAUTS DE BIENNE;39400
MOUTONNE;39270
NANCE;39140
NEY;39300
NOZEROY;39250
OFFLANGES;39290
ORGELET;39270
PARCEY;39100
PATORNAY;39130
PERRIGNY;39570
LA PESSE;39370
LES PLANCHES EN MONTAGNE;39150
POLIGNY;39800
PORT LESNEY;39600
RAHON;39120
RECANOZ;39230
ROMAIN;39350
RUFFEY SUR SEILLE;39140
ST BARAING;39120
ST CLAUDE;39200
ST DIDIER;39570
ST HYMETIERE;39240
ST LAMAIN;39230
SALANS;39700
SANTANS;39380
SAPOIS;39300
SAVIGNA;39240
SELIGNEY;39120
SERRE LES MOULIERES;39700
SIROD;39300
SONGESON;39130
SOUCIA;39130
TAXENNE;39350
THOISSIA;39160
VALEMPOULIERES;39300
VALFIN SUR VALOUSE;39240
LE VAUDIOUX;39300
VAUX SUR POLIGNY;39800
VERNANTOIS;39570
LA VIEILLE LOYE;39380
VILLARD SUR BIENNE;39200
VILLENEUVE SOUS PYMONT;39570
VILLERS FARLAY;39600
VILLERS ROBERT;39120
VINCELLES;39190
VINCENT FROIDEVILLE;39230
VIRY;39360
VULVOZ;39360
AIRE SUR L ADOUR;40800
AMOU;40330
ARBOUCAVE;40320
ARENGOSSE;40110
ARJUZANX;40110
ARTASSENX;40090
AUBAGNAN;40700
BASCONS;40090
BASSERCLES;40700
BEYLONGUE;40370
BISCARROSSE;40600
BOURRIOT BERGONCE;40120
CALLEN;40430
CANENX ET REAUT;40090
CARCARES STE CROIX;40400
CASSEN;40380
CASTANDET;40270
CASTEL SARRAZIN;40330
CAZALIS;40700
COUDURES;40500
DUHORT BACHEN;40800
DUMES;40500
GAAS;40350
GAMARDE LES BAINS;40380
GAUJACQ;40330
GOUSSE;40465
HAGETMAU;40700
HAURIET;40250
HONTANX;40190
JOSSE;40230
LABENNE;40530
LEVIGNACQ;40170
LUBBON;40240
LUCBARDEZ ET BARGUES;40090
LUE;40210
LUGLON;40630
LUSSAGNET;40270
MANO;40410
MAUVEZIN D ARMAGNAC;40240
MAZEROLLES;40090
MIMBASTE;40350
MISSON;40290
MOLIETS ET MAA;40660
MAZIERES SUR BERONNE;79500
MELLE;79500
LA MOTHE ST HERAY;79800
NIORT;79000
OIRON;79100
PAIZAY LE CHAPT;79170
PAIZAY LE TORT;79500
PAS DE JEU;79100
LA PEYRATTE;79200
PIOUSSAY;79110
POMPAIRE;79200
POUGNE HERISSON;79130
PRESSIGNY;79390
LA ROCHENARD;79270
ROM;79120
ROMANS;79260
VOULMENTIN;79150
ST ETIENNE LA CIGOGNE;79360
ST GEORGES DE NOISNE;79400
ST LAURS;79160
ST LEGER DE LA MARTINIERE;79500
ST MARC LA LANDE;79310
ST MAXIRE;79410
ST ROMANS DES CHAMPS;79230
ST SYMPHORIEN;79270
SCIECQ;79000
SCILLE;79240
SECONDIGNE SUR BELLE;79170
THENEZAY;79390
VANCAIS;79120
LE VANNEAU IRLEAU;79270
VAUSSEROUX;79420
VOUHE;79310
ACHEUX EN AMIENOIS;80560
AILLY LE HAUT CLOCHER;80690
ALLAINES;80200
ARGUEL;80140
ARRY;80120
ATHIES;80200
AVELESGES;80270
BARLY;80600
BEAUCAMPS LE VIEUX;80430
BEAUMETZ;80370
BEHEN;80870
BELLEUSE;80160
BERMESNIL;80140
BERNATRE;80370
BERTEAUCOURT LES DAMES;80850
BERTRANCOURT;80560
BETHENCOURT SUR SOMME;80190
BETTENCOURT ST OUEN;80610
BEUVRAIGNES;80700
BILLANCOURT;80190
LE BOISLE;80150
BOISMONT;80230
BONNAY;80800
BOUCHON;80830
BOUGAINVILLE;80540
BOUSSICOURT;80500
BOUTTENCOURT;80220
BOUVINCOURT EN VERMANDOIS;80200
BOUZINCOURT;80300
BOVELLES;80540
BUIRE COURCELLES;80200
BUS LES ARTOIS;80560
BUSSU;80200
BUSSY LES DAOURS;80800
BUSSY LES POIX;80290
CAMBRON;80132
CAMPS EN AMIENOIS;80540
CANCHY;80150
CARREPUIS;80700
CAVILLON;80310
CHAULNES;80320
CHAUSSOY EPAGNY;80250
LA CHAVATTE;80700
CLAIRY SAULCHOIX;80540
CONTY;80160
COTTENCHY;80440
COULLEMELLE;80250
COULONVILLERS;80135
COURCELLES AU BOIS;80560
CREMERY;80700
CRESSY OMENCOURT;80190
CURCHY;80190
DANCOURT POPINCOURT;80700
DOMESMONT;80370
DOMMARTIN;80440
DOMQUEUR;80620
DOMVAST;80150
DRUCAT;80132
L ECHELLE ST AURIN;80700
EMBREVILLE;80570
ENGLEBELMER;80300
ENNEMAIN;80200
EPAGNE EPAGNETTE;80580
EPECAMPS;80370
EQUANCOURT;80360
MIRANDE;32300
MIREPOIX;32390
MONBLANC;32130
MONCLAR SUR LOSSE;32300
MONFERRAN PLAVES;32260
MONGAUSY;32220
MONGUILHEM;32240
MONLAUR BERNET;32140
MONLEZUN;32230
MONTADET;32220
MORMES;32240
NOULENS;32800
PANJAS;32110
PEBEES;32130
PERCHEDE;32460
PERGAIN TAILLAC;32700
PEYRUSSE GRANDE;32320
PIS;32500
PLIEUX;32340
POMPIAC;32130
POUYLEBON;32320
POUY ROQUELAURE;32480
PRECHAC SUR ADOUR;32160
PUYCASQUIER;32120
REJAUMONT;32390
RISCLE;32400
LA ROMIEU;32480
ROQUELAURE ST AUBIN;32430
SABAILLAN;32420
ST ANTOINE;32340
STE AURENCE CAZAUX;32300
ST ELIX THEUX;32300
ST GEORGES;32430
ST GERMIER;32200
ST LOUBE;32220
ST MARTIN GIMOIS;32450
ST ORENS POUY PETIT;32100
ST PIERRE D AUBEZIES;32290
ST PUY;32310
SALLES D ARMAGNAC;32370
SAMARAN;32140
SANSAN;32260
SARRAGUZAN;32170
LA SAUVETAT;32500
SAUVIMONT;32220
SCIEURAC ET FLOURES;32230
SEAILLES;32190
SEISSAN;32260
SEMBOUES;32230
SEREMPUY;32120
SION;32110
TARSAC;32400
TOUJOUSE;32240
VIC FEZENSAC;32190
VILLECOMTAL SUR ARROS;32730
VILLEFRANCHE;32420
VIOZAN;32300
ARBIS;33760
LES ARTIGUES DE LUSSAC;33570
ARVEYRES;33500
AUROS;33124
AVENSAN;33480
BAURECH;33880
BAYON SUR GIRONDE;33710
BEAUTIRAN;33640
BEGADAN;33340
BEGLES;33130
BELIN BELIET;33830
BELLEBAT;33760
BERSON;33390
LES BILLAUX;33500
BLASIMON;33540
BONZAC;33910
BOSSUGAN;33350
LE BOUSCAT;33110
BROUQUEYRAN;33124
CAMIAC ET ST DENIS;33420
CAMPS SUR L ISLE;33660
CASTRES GIRONDE;33640
CAUDROT;33490
CENAC;33360
CERONS;33720
COMPS;33710
COUQUEQUES;33340
CROIGNON;33750
CUBNEZAIS;33620
DAUBEZE;33540
DONNEZAC;33860
DONZAC;33410
ESCAUDES;33840
ESPIET;33420
FONTET;33190
FOSSES ET BALEYSSAC;33190
FRANCS;33570
FRONSAC;33126
GANS;33430
GISCOS;33840
GRADIGNAN;33170
GRAYAN ET L HOPITAL;33590
VILLIERS LE PRE;50240
VIRANDEVILLE;50690
YVETOT BOCAGE;50700
AMBONNAY;51150
AMBRIERES;51290
ARCIS LE PONSART;51170
ARGERS;51800
ARZILLIERES NEUVILLE;51290
AULNAY L AITRE;51240
AUMENANCOURT;51110
AUVE;51800
AVENAY VAL D OR;51160
AVIZE;51190
BANNAY;51270
BASSU;51300
BETHENIVILLE;51490
BETHON;51260
BLAISE SOUS ARZILLIERES;51300
BOURGOGNE;51110
BRANDONVILLERS;51290
BRANSCOURT;51140
BRAUX ST REMY;51800
BROYES;51120
BRUGNY VAUDANCOURT;51530
LE BUISSON;51300
CHAMPFLEURY;51500
CHAMPGUYON;51310
CHAMPIGNY;51370
CHARLEVILLE;51120
CHARMONT;51330
CHATRICES;51800
COMPERTRIX;51510
CONNANTRAY VAUREFROY;51230
CORBEIL;51320
CORFELIX;51210
CORROY;51230
COULOMMES LA MONTAGNE;51390
COUPEVILLE;51240
COURCEMAIN;51260
COURCY;51220
COURLANDON;51170
COURTHIEZY;51700
CUMIERES;51480
CUPERLY;51400
DIZY;51530
DOMMARTIN DAMPIERRE;51800
DROSNAY;51290
ECLAIRES;51800
ECRIENNES;51300
ECURY LE REPOS;51230
ESTERNAY;51310
ETREPY;51340
FEREBRIANGES;51270
FERE CHAMPENOISE;51230
LA FORESTIERE;51120
FROMENTIERES;51210
GIFFAUMONT CHAMPAUBERT;51290
GIVRY EN ARGONNE;51330
GOURGANCON;51230
LES GRANDES LOGES;51400
GUEUX;51390
HAUTVILLERS;51160
HUIRON;51300
HUMBAUVILLE;51320
JONCHERY SUR VESLE;51140
JONQUERY;51700
LANDRICOURT;51290
LEUVRIGNY;51700
LOISY EN BRIE;51130
LOISY SUR MARNE;51300
LUDES;51500
MAFFRECOURT;51800
MAISONS EN CHAMPAGNE;51300
MARCILLY SUR SEINE;51260
MARGERIE HANCOURT;51290
MARSANGIS;51260
MATIGNICOURT GONCOURT;51300
LE MEIX TIERCELIN;51320
MINAUCOURT LE MESNIL LES HURLUS;51800
MOIREMONT;51800
MONTHELON;51530
MORANGIS;51530
MOUSSY;51530
LA NEUVILLE AUX BOIS;51330
LA NEUVILLE AUX LARRIS;51480
OGNES;51230
OIRY;51530
PARGNY SUR SAULX;51340
PRUNAY;51360
PUISIEULX;51500
QUEUDES;51120
RAPSECOURT;51330
REMICOURT;51330
REVEILLON;51310
ROMERY;51480
ST CHERON;51290
ST EULIEN;52100
