Tri;Pays;Indicatif
1;France;33
2;Afghanistan;93
3;Afrique du sud;27
4;Albanie;355
5;Algérie;213
6;Allemagne;49
7;Andorre;376
8;Angleterre;44
9;Angola;244
10;Anguilla;1
11;Antigua et Barbuda;1
12;Antilles néerlandaises;599
13;Arabie saoudite;966
14;Argentine;54
15;Arménie;374
16;Aruba;297
17;Ascension;247
18;Australie;61
19;Autriche;43
20;Azerbaïdjan;994
21;Bahamas;1
22;Bahreïn;973
23;Bangladesh;880
24;Barbade;1
25;Belgique;32
26;Bélize;501
27;Bénin;229
28;Bermudes;1
29;Bhoutan;975
30;Biélorussie;375
31;Birmanie;95
32;Bolivie;591
33;Bosnie-Herzégovine;387
34;Botswana;267
35;Brésil;55
36;Brunei;673
37;Bulgarie;359
38;Burkina Faso;226
39;Burundi;257
40;Cambodge;855
41;Cameroun;237
42;Canada;1
43;Cap vert;238
44;Centrafrique;236
45;Chili;56
46;Chine;86
47;Chypre;357
48;Colombie;57
49;Comores;269
50;Congo;242
51;Corée du Nord;850
52;Corée du sud;82
53;Costa rica;506
54;Côte d'Ivoire;225
55;Croatie;385
56;Cuba;53
57;Curaçao;599
58;Danemark;45
59;Diego garcia;246
60;Djibouti;253
61;Dominique;1
62;Écosse;44
63;Egypte;20
64;Émirats arabes unis;971
65;Equateur;593
66;Érythrée;291
67;Espagne;34
68;Estonie;372
69;Etats-Unis;1
70;Éthiopie;251
71;Fidji;679
72;Finlande;358
73;Gabon;241
74;Gambie;220
75;Géorgie;995
76;Ghana;233
77;Gibraltar;350
78;Grèce;30
79;Grenade;1
80;Groenland;299
81;Guadeloupe;590
82;Guam;1
83;Guatemala;502
84;Guinée;224
85;Guinée équatoriale;240
86;Guinée-Bissau;245
87;Guyana;592
88;Guyane;594
89;Haïti;509
90;Honduras;504
91;Hong kong;852
92;Hongrie;36
93;Île Maurice;230
94;Île Norfolk;6723
95;Île Sainte Hélène;290
96;Île Tristan da Cunha;290
97;Îles Caïmans;1
98;Iles cook;682
99;Îles Féroé;298
100;Îles Malouines;500
101;Îles Mariannes du Nord;1
102;Îles Marshall;692
103;Îles Pitcairn;64
104;Îles Turques et Caïques;1
105;Îles Vierges britanniques;1
106;Îles Vierges des États-Unis;1
107;Inde;91
108;Indonésie;62
109;Irak;964
110;Iran;98
111;Irlande;353
112;Irlande du Nord;44
113;Islande;354
114;Israël;972
115;Italie;39
116;Jamaïque;1
117;Japon;81
118;Jordanie;962
119;Kazakhstan;7
120;Kenya;254
121;Kirghizistan;996
122;Kiribati;686
123;Kosovo;383
124;Koweït;965
125;Laos;856
126;Lesotho;266
127;Lettonie;371
128;Liban;961
129;Liberia;231
130;Libye;218
131;Liechtenstein;423
132;Lituanie;370
133;Luxembourg;352
134;Macao;853
135;Macédoine;389
136;Madagascar;261
137;Malaisie;60
138;Malawi;265
139;Maldives;960
140;Mali;223
141;Malte;356
142;Maroc;212
143;Martinique;596
144;Mauritanie;222
145;Mayotte;262
146;Mexique;52
147;Micronésie;691
148;Moldavie;373
149;Monaco;377
150;Mongolie;976
151;Monténégro;382
152;Montserrat;1
153;Mozambique;258
154;Namibie;264
155;Nauru;674
156;Népal;977
157;Nicaragua;505
158;Niger;227
159;Nigeria;234
160;Niue;683
161;Norvège;47
162;Nouvelle Calédonie;687
163;Nouvelle Zélande;64
164;Oman;968
165;Ouganda;256
166;Ouzbékistan;998
167;Pakistan;92
168;Palaos;680
169;Palestine;970
170;Panama;507
171;Papouasie Nouvelle Guinée;675
172;Paraguay;595
173;Pays Bas;31
174;Pays de Galles;44
175;Pérou;51
176;Philippines;63
177;Pologne;48
178;Polynésie française;689
179;Porto Rico;1
180;Portugal;351
181;Qatar;974
182;République démocratique du congo;243
183;République dominicaine;1
184;République tchèque;420
185;Réunion;262
186;Roumanie;40
187;Royaume Uni;44
188;Russie;7
189;Rwanda;250
190;Saint Barthélemy;590
191;Saint Christophe et Niévès;1
192;Saint Marin;378
193;Saint Martin (France);590
194;Saint Martin (Pays bas);1
195;Saint Pierre et Miquelon;508
196;Saint Vincent et les Grenadines;1
197;Sainte Lucie;1
198;Salomon;677
199;Salvador;503
200;Samoa;685
201;Samoa américaines;1
202;Sao Tomé et Principe;239
203;Sénégal;221
204;Serbie;381
205;Seychelles;248
206;Sierra Leone;232
207;Singapour;65
208;Slovaquie;421
209;Slovénie;386
210;Somalie;252
211;Soudan;249
212;Soudan du Sud;211
213;Sri Lanka;94
214;Suède;46
215;Suisse;41
216;Suriname;597
217;Swaziland;268
218;Syrie;963
219;Tadjikistan;992
220;Taiwan;886
221;Tanzanie;255
222;Tchad;235
223;Thailande;66
224;Timor oriental;670
225;Togo;228
226;Tokelau;690
227;Tonga;676
228;Trinité et Tobago;1
229;Tunisie;216
230;Turkménistan;993
231;Turquie;90
232;Tuvalu;688
233;Ukraine;380
234;Uruguay;598
235;Vanuatu;678
236;Vatican;379
237;Venezuela;58
238;Viet Nam;84
239;Wallis et Futuna;681
240;Yémen;967
241;Zambie;260
242;Zimbabwe;263
